"(Allow)","(Tillåt)"
"(Config)","(Config)"
"(Deny)","(Neka)"
"Allow","Tillåt"
"Use parent","Använd förälder"
"Deny","Neka"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Varning!</strong> Genom att aktivera denna funktion så begränsas alla kategorier."
"A permission with the same scope already exists.","A permission with the same scope already exists."
"Add to Cart","Add to Cart"
"Allow Adding to Cart","Tillåt att lägga i varukorgen"
"Allow Browsing Category","Visa kategorier"
"Browsing Category","Visa kategorier"
"Catalog Permissions","Katalogbehörigheter"
"Category Permissions","Katalogbehörigheter"
"Category Permissions Section","Category Permissions Section"
"Customer Groups","Customer Groups"
"Disallow Catalog Search By","Tillåt inte katalogsök på"
"Display Product Prices","Visa produktpriser"
"Enable","Aktivera"
"Landing Page","Landningssida"
"New Permission","Ny behörighet"
"No","Nej"
"No, Redirect to Landing Page","Nej, omredigera till landningssida"
"Permission with the same scope","Permission with the same scope"
"Remove Permission","Ny behörighet"
"Yes, for Everyone","Ja, för alla"
"Yes, for Specified Customer Groups","Ja, för specifika kundgrupper"
"Permissions do not depend on store views.","Behörigheter beror inte på butiksvy"
