"Active","Aktiv"
"Add Segment","Lägg till segment"
"Address Attributes","Address attribut"
"Address Type","Adress typ"
"Back","Tillbaka"
"Customer","Kund"
"Customer %s","Kund %s"
"Customer Address","Kundadress"
"Customer Address %s","Kundadress %s"
"Customer Segment","Kundsegment"
"Customer Segment Report","Kundsegment rapport"
"Customer Segment Report \'%s\'","Kundsegment rapport \'%s\'"
"Customer Segment data has been refreshed.","Kundsegmentets data har uppdaterats."
"Customer Segments","Kundsegment"
"Customer Segments Report","Kundsegments rapporter"
"Customer Since","Kund sedan"
"Customer Store Credit Amount %s %s:","Customer Store Credit Amount %s %s:"
"Customer is %s to newsletter.","Customer is %s to newsletter."
"Customers","Kund"
"Date Range","Date Range"
"Date Ranges","Date Ranges"
"Default Address","Default Address"
"Delete","Ta bort"
"Description","Beskrivning"
"Details","Detaljer"
"Edit Segment","Ändra segment"
"Edit Segment '%s'","Ändra segment '%s'"
"Email","Email"
"Enable Customer Segment Functionality","Aktivera kundsegment"
"Excel XML","Excel XML"
"General Properties","Generellt"
"Gift Card","Presentkort"
"Grand Total","Totalsumma"
"Group","Grupp"
"Has State/Province","Har region"
"ID","ID"
"If Customer Address %s State/Province specified","If Customer Address %s State/Province specified"
"Inactive","Inaktiv"
"Intersection","Intersection"
"Manage Segments","Hantera segmenter"
"Matched %d Customers of Segment %s","Matched %d Customers of Segment %s"
"Matched Customers (%d)","Matched Customers (%d)"
"Name","Namn"
"New Segment","Ny segment"
"Newsletter Subscription","Newsletter Subscription"
"Number of Cart Line Items","Number of Cart Line Items"
"Number of Customers","Number of Customers"
"Number of Orders","Number of Orders"
"Order Address","Order Address"
"Order Address %s","Order Address %s"
"Order Address Attributes","Order Address Attributes"
"Order Status","Order Status"
"Product %s","Product %s"
"Product Attributes","Product Attributes"
"Product History","Product History"
"Product List","Product List"
"Products","Products"
"Products Quantity","Products Quantity"
"Purchased Quantity","Purchased Quantity"
"Refresh Segment Data","Refresh Segment Data"
"Reports","Reports"
"Sales","Sales"
"Sales Amount","Sales Amount"
"Save","Save"
"Save and Continue Edit","Save and Continue Edit"
"Segment Customers matching error.","Segment Customers matching error."
"Segment Information","Segment Information"
"Segment Name","Segment namn"
"Segments","Segments"
"Set","Set"
"Shipping","Shipping"
"Shopping Cart","Shopping Cart"
"Shopping Cart Total","Shopping Cart Total"
"State/Province","State/Province"
"Status","Status"
"Store Credit","Store Credit"
"Subtotal","Subtotal"
"Tax","Tax"
"Telephone","Telephone"
"The segment has been deleted.","Segmentet har tagits bort."
"The segment has been saved.","Segmentet har sparats."
"Total","Total"
"Unable to delete the segment.","Det gick inte att ta bort segmentet."
"Unable to save the segment.","Det gick inte att spara segmentet."
"Union","Union"
"Unknown operator specified.","Unknown operator specified."
"Unknown quote total specified.","Unknown quote total specified."
"Up To Date","Up To Date"
"Use in Customer Segment","Använd i kundsegment"
"View Combined Report","View Combined Report"
"Viewing combined ""%s"" report from segments: %s","Viewing combined ""%s"" report from segments: %s"
"Viewing combined ""%s"" report from segments: %s.","Viewing combined ""%s"" report from segments: %s."
"Wrong customer segment requested.","Felaktig kundsegments förfrågan."
"ZIP","ZIP"
"does not exist","finns inte"
"does not have","har inte"
"does not match","matchar inte"
"exists","finns"
"has","har"
"is not one of","är inte en av"
"is one of","är en av"
"matches","matchar"
"not subscribed","not subscribed"
"ordered","ordered"
"subscribed","subscribed"
"viewed","viewed"
