"Active","Aktiv"
"Add Rule","Lägg till regel"
"Add to Cart","Lägg till i varukorgen"
"Add to Compare","Lägg till i jämförelsen"
"Add to Wishlist","Lägg till i önskelistan"
"An error occurred while saving Product Rule.","Ett fel uppstod medan produktregeln sparades."
"Applies To","Appliceras på"
"Apply To","Applicera på"
"Based on your selection, you may be interested in the following items:","Utifrån produkterna du redan tittat på, vill vi rekommendera dessa:"
"Both Selected and Rule-Based","Både valda och regelstyrda"
"Catalog","Katalog"
"Close","Stäng"
"Conditions Combination","Kombination av villkor"
"Constant Value","Konstant värde"
"Cross-sells","Korsförsäljning"
"Date Ends","Till datum"
"Date Starts","Från datum"
"Delete Rule","Ta bort relel"
"Edit Rule '%s'","Ändra regel '%s'"
"End Date should be greater than Start Date","Slutdataum måste vara större än startdatum"
"From Date","Från datum"
"General Rule Information","Information om regel"
"ID","ID"
"Inactive","Inaktiv"
"Invalid product list type","Ogiltig produktlistningstyp"
"Manage Product Rules","Hantera produktregler"
"Matched Product %s","Matchade produkter %s"
"Maximum Number of Products in Cross-Sell Product List","Maximalt antal av produkter i listan med korsförsäljning"
"Maximum Number of Products in Related Products List","Maximalt antal av produkter i listan med relaterade produkter"
"Maximum Number of Products in Upsell Product List","Maximalt antal av produkter i listan med merförsäljning"
"Maximum number of products that can be matched by this Rule. Capped to 20.","Maximalt antal produkter som kan matchas av denna regel. Maximerad till 20."
"New Rule","Ny regel"
"Please choose a condition to add...","Vänligen ange ett villkor..."
"Position Behavior","Positionsbeteende"
"Price (percentage)","Pris (%)"
"Priority","Prioritet"
"Product Attributes","Produktattribut"
"Product Match Conditions (leave blank for matching all products)","Villkor för att matcha produkter (lämna tomt för att matcha alla produkter)"
"Product Result Conditions (leave blank for matching all products)","Villkor för att visa produkter (lämna tomt för att matcha alla produkter)"
"Product Rule Information","Regelinformation"
"Product Special","Produktspecial"
"Products to Display","Produkter att visa"
"Products to Match","Produkter att matcha"
"Related Products","Relaterade produkter"
"Result Limit","Gränsvärde för resultat"
"Rule Information","Regelinformation"
"Rule Name","Regelnamn"
"Rule-Based Only","Endast regelbaserade"
"Rule-Based Product Relations","Regelbaserade produktrelationer"
"Rule-based Positions","Regelbaserade positioner"
"Rule-based Product Relations","Regelbaserade produktrelationer"
"Rule-based Settings","Regelbaserade inställningar"
"Save Rule","Spara regel"
"Save and Continue Edit","Spara och fortsätt ändra"
"Selected Only","Endast valda"
"Show Cross-Sell Products","Visa korsförsäljningsprodukter"
"Show Related Products","Visa relaterade produkter"
"Show Upsell Products","Visa merförsäljningsprodukter"
"Shuffle","Blanda"
"Status","Status"
"Target Product ","Målprodukt "
"The rule has been deleted.","Regeln har tagits bort."
"The rule has been saved.","Regeln har sparats."
"This rule no longer exists","Regeln finns inte längre."
"To Date","Till datum"
"Up-sells","Merförsäljning"
"Use Config Settings","Använd konfirationsinställningar"
"Wrong rule specified.","Felaktig regel specificerad."
"You may also be interested in the following product(s)","Du kanske även är intresserad av följande produkt(er)"
"[GLOBAL]","[GLOBALT]"
"equal to","är lika med"
"equals or greater than","är lika med eller större än"
"equals or less than","är lika med eller mindre än"
"less","mindre"
"more","mer"
"select all","välj alla"
"the Child of the Matched Product Categories","barn till den matchade produktkategorien"
"the Same as Matched Product Categories","samma som den matchade produktkategorin"
"unselect all","avmarkera alla"
"The reminder rule has been saved.", "Påminnelsen har sparats."
"The reminder rule has been deleted.", "Påminnelsen har tagits bort."
"The reminder rule has been matched.", "Påminnelsen har körts."
"Rule Reminder", "Automatiserad e-postpåminnelse"
